Indicação de data e hora,situacao,Curso em que você está matriculado:,"Quais foram a primeira e a segunda opção de cursos que você escolheu no ENEM/Sisu, respectivamente?",Como você tomou conhecimento do curso de sua escolha aqui na UFC de Quixadá?,Sexo,estado_civil,filhos,renda,quem_você_está_morando_atualmente,residindo_em,distancia_ufc_casa,meio_de_transporte,apresenta_necessidade_educacional_especial,tipo_escola_ensino_fundamental,tipo_escola_ensino_medio,forma_ingresso_ufc_qxd,atividade_remunerada,participa_algum_tipo_atividade_organização_associação,fator_escolha_curso,afinidade_linguagens,afinidade_humanas,afinidade_matematica,afinidade_natureza,estudo_fora_sala,motivacao_curso,tarefa_durante_curso,dedicacao_exigida,disciplinas_ofertadas,competencias_habilidades_requiridas,condicoes_mercado_trabalho,competencias_area_ti,realizacao_profissional,concluir_curso_nessa_instituicao,nao_mudaria_de_curso,Assinale DOIS fatores que você acredita que o ajudarão a concluir o curso com êxito:,Assinale as DUAS principais dificuldades que você percebe influenciar a conclusão do curso:,Quais suas expectativas com a conclusão de seu curso?,O que você espera do curso que está inciando? Quais suas expectativas?
4/15/2016 17:11:43,ATIVO,Engenharia de software,Engenharia de Software (Campus Quixadá) e Engenharia de Software (Campus Russas),Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Muita afinidade,Muita afinidade,Boa afinidade,Alguma afinidade,Até 2 horas,Motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Algum conhecimento,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Verifica-se com frequência,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade de Transporte, Problemas Financeiros","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).",Espero me tornar um grande profissional na área.
4/15/2016 17:12:46,ATIVO,Engenharia de software,Engenharia de Software e Sistema Informação,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,Até 1000 reais,Sozinho,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Pública - Profissionalizante na Área de Informática,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Pouquíssima afinidade,Alguma afinidade,Alguma afinidade,Alguma afinidade,De 2 a 3 horas,Totalmente desmotivado.,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Envolvimento em atividades de ensino, pesquisa e extensão.",Problemas Financeiros,Gostaria de ganhar dinheiro com o meu próprio negócio.,Espero ser um curso onde me reconheça cada vez mais com profissional. Expectativas de dá o meu melhor e ganhar muito no mercado com esse curso.
4/15/2016 17:12:47,ATIVO,Engenharia de software,Engenharia de software - Quixada. Sistema de informação Quixada,No site da universidade.,Feminino,Solteiro/a,Não,De 1001 até 2000 reais,Sozinho,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Particular e pública,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Alguma afinidade,Alguma afinidade,Muita afinidade,Boa afinidade,De 4 a 6 horas,Muito motivado.,Algum conhecimento,Algum conhecimento,Conheço muito bem,Conheço muito bem,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Financeiros, Problemas Pessoais",Gostaria de prestar um concurso e trabalhar no setor público.,"Espero me torna uma excelente profissional na área de tecnologia. O curso é muito bom, as instalações também, os professores também são bons. Espero que ao final do curso eu tenha aproveitado tudo que a UFC disponibilizou para minha formação."
4/15/2016 17:12:49,ATIVO,Engenharia de software,Engenharia de Software e Ciencia da computação,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,De 2001 até 3000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Pública - Profissionalizante na Área de Informática,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Grupos de estudo da universidade,Por conta de um mercado de trabalho promissor.,Boa afinidade,Boa afinidade,Muita afinidade,Boa afinidade,Até 2 horas,Muito motivado.,Algum conhecimento,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.","Dificuldade de Transporte, Dificuldade com o aprendizado de programação",Gostaria de ganhar dinheiro com o meu próprio negócio.,"Espero aprender mais sobre programação e tecnologia da informação em geral, conseguir conhecimento suficiente para ganhar um bom emprego e realizá-lo da melhor forma possível. 
Espero estar motivado para concursos e fazê-los com eficiência, ter um bom resultado, estudar na área e ser bem sucedido."
4/15/2016 17:13:05,ATIVO,Engenharia de software,Engenharia de Software,Em sites especializados.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Com sua esposa/marido ou companheiro/a,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública e particular,Pública Tradicional,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Boa afinidade,Boa afinidade,Muita afinidade,Pouquíssima afinidade,Até 2 horas,Motivado.,Conheço bem,Conheço muito bem,Conheço bem,Conheço muito bem,Conheço muito bem,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.","Dificuldade de Organizar Horários de Estudos, Dificuldade de Concentração","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).",Espero que o curso me traga um bom conhecimento na área para que possa exercer a profissão.
4/15/2016 17:13:38,ATIVO,Engenharia de software,"Engenharia de software, Engenharia de software",Amigos,Masculino,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L1 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Alguma afinidade,Boa afinidade,Boa afinidade,Boa afinidade,De 2 a 3 horas,Muito motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Algum conhecimento,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade de Transporte, Problemas Financeiros",Gostaria de prestar um concurso e trabalhar no setor público.,Pretendo ampliar meus conhecimentos e atuar de forma consciente na sociedade. Buscar novas graduações ou especializações
4/15/2016 17:13:40,ATIVO,Engenharia de software,odontologia e engenharia de software,Obtive conhecimento através de amigos e familiares.,Feminino,Solteiro/a,Sim,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)","Sim, mas NÃO na área de tecnologia da informação ou afins.",Não participo de nenhuma atividade.,Por conta de um mercado de trabalho promissor.,Alguma afinidade,Alguma afinidade,Boa afinidade,Muita afinidade,Até 2 horas,Motivado.,Algum conhecimento,Conheço muito bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se com frequência,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Financeiros, Problemas Pessoais",Gostaria de conseguir um bom emprego.,absorver os métodos de programação para poder adquirir um bom trabalho em que se encaixe nos meus conhecimento e  com rendimento satisfatório.
4/15/2016 17:13:52,ATIVO,Engenharia de software,Engenharia de software Engenharia civil,Soube no momento da minha inscrição no SISU.,Masculino,Solteiro/a,Não,Até 1000 reais,Sozinho,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Boa afinidade,Boa afinidade,Alguma afinidade,Boa afinidade,Até 2 horas,Motivado.,Algum conhecimento,Algum conhecimento,Conheço bem,Conheço bem,Algum conhecimento,Poucas vezes se verifica,Verifica-se com frequência,Verifica-se sempre,Poucas vezes se verifica,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade de Socialização, Dificuldade de Concentração",Gostaria de ganhar dinheiro com o meu próprio negócio.,"Espero que consiga me formar no tempo previsto e conseguir um bom emprego, investir no meu proprio negocio, conseguir estabilidade e poder ajudar a minha familia."
4/15/2016 17:15:59,ATIVO,Engenharia de software,engenharia de software,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Família,Zona urbana,Entre 25 km e 50 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L1 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Alguma afinidade,Alguma afinidade,Alguma afinidade,Alguma afinidade,De 2 a 3 horas,Muito motivado.,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade de Transporte, Problemas Financeiros",Gostaria de ganhar dinheiro com o meu próprio negócio.,"Tenho boas expectativas, pois sendo uma área ao qual me identifico, mesmo tendo conteúdos difíceis, me agrado com eles. e sei que com muito esforço, poderei aprender a matéria."
4/15/2016 17:17:29,ATIVO,Engenharia de software,"Engenharia de Software, Sistemas da informação",Internet,Masculino,Solteiro/a,Não,De 2001 até 3000 reais,Amigos,Zona urbana,Até 10 km,Biclicleta,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)","Sim, na área de tecnologia da informação ou afins.","Grupo cultural (dança, teatro, música, coral, etc).",É uma área com a qual me identifico.,Boa afinidade,Boa afinidade,Boa afinidade,Boa afinidade,Até 2 horas,Motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Poucas vezes se verifica,Nunca se verifica,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Envolvimento em atividades de ensino, pesquisa e extensão.",Problemas Pessoais,Fazer o novo,Maio leque de possibilidades
4/15/2016 17:19:25,ATIVO,Engenharia de software,Engenharia de Software; Fisica,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,De 2001 até 3000 reais,Família,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Pública Tradicional,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Boa afinidade,Boa afinidade,Boa afinidade,Boa afinidade,Até 2 horas,Muito motivado.,Conheço bem,Conheço muito bem,Conheço bem,Conheço bem,Conheço muito bem,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Nunca se verifica,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.","Dificuldade de Concentração, Dificuldade com o aprendizado de programação","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","Espero concluir o curso. Continuar na area da tecnologia da informaçao, e, futuramente, conseguir um bom emprego."
4/15/2016 17:20:11,DESISTENCIA,Engenharia de software,Engenharia de softwere engenharia da computação,Obtive conhecimento através de amigos e familiares.,Feminino,Solteiro/a,Não,De 2001 até 3000 reais,Sozinho,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Pública Tradicional,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,Por conta de um mercado de trabalho promissor.,Alguma afinidade,Boa afinidade,Alguma afinidade,Boa afinidade,De 3 a 4 horas,Motivado.,Pouquíssimo conhecimento,Algum conhecimento,Pouquíssimo conhecimento,Pouquíssimo conhecimento,Algum conhecimento,Nunca se verifica,Verifica-se com frequência,Verifica-se sempre,Verifica-se com frequência,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., O apoio da família., Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Alimentação no refeitório universitário gratuita., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão., Experiência de estágio na área.","Dificuldade de Transporte, Problemas Financeiros, Dificuldade com o aprendizado da matemática, Dificuldade com o aprendizado de programação",Gostaria de conseguir um bom emprego.,"Me tronar um ótimo profissional, reprovar o minimo de cadeiras possíveis."
4/15/2016 17:20:11,ABANDONO,Engenharia de software,"Engenharia de software, Química",Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,De 3001 até 4000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública Tradicional,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Pouquíssima afinidade,Boa afinidade,Boa afinidade,Boa afinidade,De 4 a 6 horas,Motivado.,Algum conhecimento,Algum conhecimento,Conheço bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Poucas vezes se verifica,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade com o aprendizado da matemática, Dificuldade com o aprendizado de programação",Se der certo pra mim... me interesso por segurança de informação.,"Como sou meio novo ainda, quero me formar, ter um emprego que pelo menos não ache ruim, e depois disso vejo o que realmente quero fazer da vida... curto muito filosofia, quem sabe."
4/18/2016 11:45:46,ATIVO,Sistemas da informação,Sistemas da Informaço / Engenharia de Software,Soube no momento da minha inscrição no SISU.,Masculino,Solteiro/a,Não,Até 1000 reais,Família,Zona urbana,Entre 50 km e 100 km,Ônibus universitário,Não,Pública,Pública Tradicional,Ampla concorrência,"Sim, mas NÃO na área de tecnologia da informação ou afins.",Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Boa afinidade,Boa afinidade,Muita afinidade,Muita afinidade,De 2 a 3 horas,Motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Algum conhecimento,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade de Transporte, Problemas Financeiros",Gostaria de prestar um concurso e trabalhar no setor público.,"So tenho otimas expectativas e espero aproveitar o maximo, ja que e uma area que sempre quis trabalhar."
4/18/2016 11:46:47,ATIVO,Sistemas da informação,SI ou ES,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,Até 1000 reais,Família,Zona urbana,Entre 50 km e 100 km,Ônibus universitário,Sim. Visual,Pública,Pública Tradicional,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,"Grupo cultural (dança, teatro, música, coral, etc).",É uma área com a qual me identifico.,Boa afinidade,Boa afinidade,Boa afinidade,Boa afinidade,De 2 a 3 horas,Motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,"O apoio da família., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade de Transporte, Problemas Financeiros",Gostaria de prestar um concurso e trabalhar no setor público.,"Esperando ter êxito completo , Buscando uma boa colocação no mercado"
4/18/2016 11:47:46,ATIVO,Sistemas da informação,"#01 Sistemas da Informação, #02 Designer Digital.",No site da universidade.,Masculino,Solteiro/a,Não,Até 1000 reais,Família,Zona urbana,Entre 25 km e 50 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L1 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Boa afinidade,Boa afinidade,Alguma afinidade,Pouquíssima afinidade,Até 2 horas,Motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Poucas vezes se verifica,"O apoio da família., Experiência de estágio na área.","Dificuldade de Transporte, Problemas Financeiros",Gostaria de conseguir um bom emprego.,Uma boa oportunidade no mercado de trabalho e uma carreira na área.
4/18/2016 11:48:23,ABANDONO,Sistemas da informação,"sistemas de informaçao, engenharia",No site da universidade.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Parentes,Zona urbana,Entre 25 km e 50 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L3 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,Por conta de um mercado de trabalho promissor.,Boa afinidade,Boa afinidade,Boa afinidade,Boa afinidade,De 2 a 3 horas,Pouco motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade de Transporte, Dificuldade com o aprendizado de programação",Gostaria de conseguir um bom emprego.,espero terminalo
4/18/2016 11:48:59,ATIVO,Sistemas da informação,sistemas de informação engenharia da computação,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Parentes,Zona urbana,Entre 10 km e 25 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Clube recreativo ou associação esportiva.,Por conta de um mercado de trabalho promissor.,Alguma afinidade,Muita afinidade,Muita afinidade,Muita afinidade,De 2 a 3 horas,Motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Conheço muito bem,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se com frequência,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Experiência de estágio na área.","Problemas Financeiros, Dificuldade com o aprendizado de programação","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","me formar e ser um profissional de modelo na area com inovações  e ideias interssantes,fundar minha empresa com os conhecimentos aqui diquiridos"
4/18/2016 11:49:52,ATIVO,Sistemas da informação,Sistemas de Informação,No site da universidade.,Masculino,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L1 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Alguma afinidade,Alguma afinidade,Boa afinidade,Alguma afinidade,Até 2 horas,Muito motivado.,Algum conhecimento,Conheço bem,Pouquíssimo conhecimento,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade).","Problemas Financeiros, Dificuldade com o aprendizado de programação",Gostaria de conseguir um bom emprego.,"Espero uma ótima metodologia de ensino, uma vasta área de conhecimento tecnológico, e me esforçar mais e mais ate conseguir mestrado e um bom emprego"
4/18/2016 11:50:24,ATIVO,Sistemas da informação,"sistemas da informação, ciência da computação",Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública Tradicional,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Alguma afinidade,Boa afinidade,Muita afinidade,Alguma afinidade,Até 2 horas,Motivado.,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade).",Problemas Financeiros,Gostaria de ganhar dinheiro com o meu próprio negócio.,Espero que consiga terminar o curso com capacidade de e maturidade para conseguir crescer no mercado
4/18/2016 11:50:27,ATIVO,Sistemas da informação,Sistemas de Informação e Redes de Computadores,Obtive conhecimento através de amigos e familiares.,Feminino,Solteiro/a,Não,De 1001 até 2000 reais,Sozinho,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Igreja ou grupo religioso.,É uma área com a qual me identifico.,Boa afinidade,Boa afinidade,Boa afinidade,Boa afinidade,De 2 a 3 horas,Muito motivado.,Conheço bem,Conheço muito bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Financeiros, Dificuldade de Organizar Horários de Estudos","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","Espero que eu possa aprender cada vez mais, tentar me dedicar ao máximo, conhecer bastante as áreas e trabalhar na área que mais me identificar."
4/18/2016 11:50:42,ATIVO,Sistemas da informação,"Sistemas da informação, Ciência da computação",Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Família,Zona urbana,Entre 10 km e 25 km,Ônibus universitário,Não,Pública e particular,Pública Tradicional,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Clube recreativo ou associação esportiva.,Por conta de um mercado de trabalho promissor.,Pouquíssima afinidade,Alguma afinidade,Boa afinidade,Boa afinidade,De 3 a 4 horas,Motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Conheço bem,Conheço bem,Verifica-se sempre,Verifica-se sempre,Verifica-se com frequência,Verifica-se com frequência,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade de Organizar Horários de Estudos, Dificuldade com o aprendizado de programação",Gostaria de conseguir um bom emprego.,"Espero ter um bom rendimento, terminar o curso no tempo estipulado e que eu possa me tornar um bom profissional no futuro."
4/18/2016 11:50:54,ATIVO,Sistemas da informação,"Sistemas da informação, Ciência da computação",Escola e cursinhos,Masculino,Solteiro/a,Não,De 5001 até 6000 reais,Família,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Boa afinidade,Muita afinidade,Muita afinidade,Alguma afinidade,Até 2 horas,Pouco motivado.,Conheço bem,Conheço bem,Conheço muito bem,Conheço bem,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Nunca se verifica,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade de Organizar Horários de Estudos, Dificuldade de Concentração",Gostaria de conseguir um bom emprego.,Me formar.
4/18/2016 11:51:26,ATIVO,Sistemas da informação,Sistemas da informação / Engenharia Elétrica,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,"Não participo de nenhuma atividade., Igreja ou grupo religioso.",Não havia na cidade onde moro o curso de meu real interesse.,Boa afinidade,Boa afinidade,Alguma afinidade,Alguma afinidade,De 3 a 4 horas,Motivado.,Algum conhecimento,Conheço bem,Conheço bem,Conheço bem,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Poucas vezes se verifica,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.","Dificuldade de Organizar Horários de Estudos, Dificuldade com o aprendizado da matemática",Gostaria de conseguir um bom emprego.,Espero valer a pena!
4/18/2016 11:51:41,ATIVO,Sistemas da informação,Sistemas de Informação e Ciencia da Computação,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Boa afinidade,Muita afinidade,Alguma afinidade,Boa afinidade,Acima de 6 horas,Motivado.,Conheço bem,Conheço bem,Algum conhecimento,Algum conhecimento,Conheço muito bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se com frequência,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Financeiros, Dificuldade com o aprendizado da matemática","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","Formar- me e fazer um mestrado, depois trabalhar na area de Ti."
